"('FarmVille', 'IMVU')",18
"('Avatar', 'Bed')",550
"('CSI', 'Money')",2
"('Ludacris', 'Nickelback')",8
"('Clinique', 'Evanescence')",3
"('BlackBerry', 'Oreo')",2
"('Arsenal', 'Dove')",1
"('Gardening', 'Madonna')",3
"('Dance', 'Singing')",1
"('Photography', 'Scrubs')",119
"('Converse', 'Journey')",1
"('Shameless', 'SportsCenter')",3
"('Twilight', 'Wine')",217
"('Aropostale', 'Arsenal')",58
"('2012', 'Movies')",8
"('History', 'MTV')",50
"('Jazz', 'Megadeth')",4
"('Metallica', 'Pitbull')",7
"('Weeds', 'bebe')",19
"('MTV', 'Metallica')",1394
"('NCIS', 'Usher')",8
"('Rock', 'Shakira')",1485
"('House', 'Jackass')",2335
"('2012', 'Golf')",3
"('Hunting', 'Monica')",1
"('CityVille', 'Pizza')",4
"('Cash', 'Everything')",35
"('PicBadges', 'Soccer')",6
"('Boo', 'FishVille')",2
"('Megadeth', 'Mojojojo')",14
"('Oasis', 'Supernatural')",4
"('Hiking', 'Hugging')",54
"('PicBadges', 'Pink')",271
"('Common', 'Disneyland')",11
"('Disneyland', 'Secret')",1
"('Traveling', 'trampolines')",1
"('Hunting', 'Pizza')",4
"('Titanic', 'Wonka')",11
"('Skittles', 'WALLE')",1
"('25', 'Drawing')",6
"('Reading', 'Shrek')",103
"('Snickers', 'Usher')",7
"('Chocolate', 'Dexter')",137
"('Nemo', 'Pizza')",84
"('Cooking', 'Expedia')",16
"('Disney', 'Lost')",12
"('Intel', 'Love')",635
"('Bing', 'Queen')",1
"('Cricket', 'Maxwell')",1
"('TheSims3', 'Transformers')",1
"('Burberry', 'Lacoste')",3
"('Donkey', 'Games')",13
"('Supernatural', 'Twitter')",23
"('Sprite', 'Subway')",98
"('Ludacris', 'Quotes')",4
"('Volleyball', 'Zombieland')",9
"('Spartacus', 'YoVille')",6
"('PetVille', 'Redbox')",36
"('Drawing', 'FarmVille')",35
"('Jesus', 'Taken')",5
"('YouTube', 'trampolines')",33
"('Soccer', 'Subway')",144
"('Pillsbury', 'Subway')",3
"('Sports', 'Swimming')",324
"('Eating', 'FreedomWorks')",2
"('Cars', 'Photography')",7
"('Glowsticks', 'NFL')",1
"('Tisto', 'deadmau5')",59
"('Church', 'Lost')",5
"('Seinfeld', 'Shakira')",694
"('300', 'Bible')",173
"('Bible', 'MediaFire')",1
"('Drama', 'Money')",3
"('Smiling', 'SonyEricsson')",16
"('Common', 'Pizza')",1
"('Metallica', 'RightChange')",6
"('JLS', 'JustinBieber')",4
"('CityVille', 'MediaFire')",7
"('Secret', 'Weeds')",25
"('Eclipse', 'Facebook')",858
"('NASCAR', 'Sublime')",1
"('Badminton', 'Mario')",4
"('Muse', 'Nelly')",31
"('Chocolate', 'Glowsticks')",1
"('DrPepper', 'Eclipse')",1
"('RightChange', 'Soccer')",13
"('Eminem', 'God')",183
"('Rammstein', 'Reggae')",42
"('90210', 'Fred')",1
"('Badminton', 'Chess')",55
"('Running', 'iHearts')",2
"('Nokia', 'PetVille')",133
"('Slash', 'Timbaland')",1
"('Adele', 'Bible')",104
"('House', 'Puma')",5
"('Bible', 'Zoosk')",1
"('Gladiator', 'Rugby')",2
"('Chocolate', 'Jesus')",5
"('Basketball', 'Cuddling')",12
"('Disney', 'Music')",25
"('Starbucks', 'Timbaland')",43
"('Dancing', 'Secret')",6
"('Coach', 'Secret')",1
"('GoLikeUs', 'Mayhem')",2
"('Hunting', 'Pantera')",1
"('Facebook', 'India')",876
"('Playboy', 'Watermelon')",2
"('Fantasia', 'Photography')",3
"('History', 'MythBusters')",9
"('LuxDelux', 'Plies')",2
"('BernieMac', 'Cash')",6
"('Singing', 'Squirt')",10
"('Drawing', 'Golf')",2
"('Inception', 'Traveling')",1
"('Bonfires', 'Friday')",1
